Algorithm,CoinName,FullName,FullyPremined,Id,ImageUrl,Name,PreMinedValue,ProofType,SortOrder,Sponsored,Symbol,TotalCoinSupply,TotalCoinsFreeFloat,Url
Scrypt,WomenCoin,WomenCoin (WOMEN),0,348068,/media/12318379/women.png,WOMEN,N/A,PoW/PoS,1732,False,WOMEN,25000000000,N/A,/coins/women/overview
SHA256,Theresa May Coin,Theresa May Coin (MAY),0,348094,/media/12318380/may.png,MAY,N/A,PoW/PoS,1733,False,MAY,100000000,N/A,/coins/may/overview
N/A,Render Token,Render Token (RNDR),0,348131,/media/12318381/rndr.png,RNDR,N/A,N/A,1734,False,RNDR,N/A,N/A,/coins/rndr/overview
Scrypt,Eddie coin,Eddie coin (EDDIE),0,348256,/media/12318382/eddie.png,EDDIE,N/A,PoW/PoS,1735,False,EDDIE,1000000000,N/A,/coins/eddie/overview
N/A,Soma,Soma (SCT*),0,348278,/media/12318383/sct.png,SCT*,N/A,N/A,1736,False,SCT*,60000000,N/A,/coins/sctstar/overview
NIST5,NamoCoin,NamoCoin (NAMO),0,348289,/media/12318384/namo.png,NAMO,N/A,PoW/PoS,1737,False,NAMO,1200000000,N/A,/coins/namo/overview
N/A,Kucoin,Kucoin (KCS),0,348628,/media/12318389/kcs.png,KCS,N/A,N/A,1738,False,KCS,181043076 ,N/A,/coins/kcs/overview
N/A,Ethereum Blue,Ethereum Blue (BLUE),0,350048,/media/12318407/blue.png,BLUE,N/A,N/A,1740,False,BLUE,42000000,N/A,/coins/blue/overview
N/A,Follow Coin,Follow Coin (FLLW),0,350394,/media/12318412/fllw.png,FLLW,N/A,N/A,1742,False,FLLW,1000000000,N/A,/coins/fllw/overview
N/A,Wyrify,Wyrify (WYR),0,350395,/media/12318413/wyr.png,WYR,N/A,N/A,1743,False,WYR,200000000,N/A,/coins/wyr/overview
N/A,Vezt,Vezt (VZT),0,350476,/media/12318414/vzt.png,VZT,N/A,PoW,1744,False,VZT,125000000,N/A,/coins/vzt/overview
N/A,IndiCoin,IndiCoin (INDI),0,351078,/media/12318419/indi.png,INDI,N/A,PoW,1745,False,INDI,550000000,N/A,/coins/indi/overview
Dagger,Pirl,Pirl (PIRL),0,355019,/media/14543968/pirl.png,PIRL,N/A,PoW,1750,False,PIRL,N/A,N/A,/coins/pirl/overview
N/A,Ethereum Cash,Ethereum Cash (ECASH),0,355117,/media/14543971/ecash.png,ECASH,N/A,N/A,1751,False,ECASH,15000000,N/A,/coins/ecash/overview
N/A,Dragonchain,Dragonchain (DRGN),0,355702,/media/16746490/drgn.png,DRGN,N/A,N/A,1753,False,DRGN,433494437,N/A,/coins/drgn/overview
N/A,ODMCoin,ODMCoin (ODMC),0,357404,/media/14761889/odmcoin.png,ODMC,N/A,N/A,1754,False,ODMC,25000,N/A,/coins/odmc/overview
N/A,CyberTrust,CyberTrust (CABS*),0,357413,/media/14761917/ctst.png,CABS*,N/A,N/A,1755,False,CABS*,600000,N/A,/coins/cabsstar/overview
N/A,Dynamic Trading Rights,Dynamic Trading Rights (DTR),0,360063,/media/14761903/dtr.png,DTR,N/A,N/A,1757,False,DTR,3750000,N/A,/coins/dtr/overview
N/A,CryptoInsight,CryptoInsight (TKR),0,360229,/media/14761909/tkr.png,TKR,N/A,N/A,1758,False,TKR,12529747,N/A,/coins/tkr/overview
N/A,EthereumLite,EthereumLite (ELITE),0,360657,/media/14761914/elite.png,ELITE,N/A,N/A,1760,False,ELITE,1000000,N/A,/coins/elite/overview
Scrypt,Xios,Xios (XIOS),0,360740,/media/14761915/xios.png,XIOS,N/A,PoW/PoS,1761,False,XIOS,21000000,N/A,/coins/xios/overview
N/A,DOVU,DOVU (DOVU),0,360827,/media/14761916/dovu.png,DOVU,N/A,N/A,1762,False,DOVU,1200000000,N/A,/coins/dovu/overview
N/A,Electroneum,Electroneum (ETN),0,361881,/media/14761932/electroneum.png,ETN,N/A,PoW,1763,False,ETN,21000000000 ,N/A,/coins/etn/overview
N/A,Realisto,Realisto (REA),0,362039,/media/14761934/rea.png,REA,N/A,N/A,1764,False,REA,N/A,N/A,/coins/rea/overview
Avesta hash,Avesta,Avesta (AVE),0,362627,/media/14761937/ave.png,AVE,N/A,PoW,1765,False,AVE,200000000,N/A,/coins/ave/overview
N/A,Xenon,Xenon (XNN),0,362769,/media/14761938/xnn.png,XNN,N/A,N/A,1766,False,XNN,1000000000,N/A,/coins/xnn/overview
Quark,Bitcloud 2.0,Bitcloud 2.0 (BTDX),0,362846,/media/14761939/btdx.png,BTDX,N/A,PoW/PoS,1767,False,BTDX,200000000,N/A,/coins/btdx/overview
N/A,Lendoit,Lendoit (LOAN),0,363006,/media/14761940/loan.png,LOAN,N/A,N/A,1768,False,LOAN*,N/A,N/A,/coins/loan/overview
N/A,ZABERcoin,ZABERcoin (ZAB),0,363992,/media/14761946/zab.png,ZAB,N/A,N/A,1770,False,ZAB,10000000,N/A,/coins/zab/overview
N/A,Modulum,Modulum (MDL),0,364051,/media/14913435/mdl-ico.png,MDL,N/A,N/A,1771,False,MDL,35100000,N/A,/coins/mdl/overview
N/A,Bitfinex Bitcoin Future,Bitfinex Bitcoin Future (BT1),0,364317,/media/19633/btc.png,BT1,N/A,N/A,1772,False,BT1,N/A,N/A,/coins/bt1/overview
N/A,Bitcoin SegWit2X,Bitcoin SegWit2X (BT2),0,364348,/media/19633/btc.png,BT2,N/A,N/A,1773,False,BT2,N/A,N/A,/coins/bt2/overview
N/A,Jincor,Jincor (JCR),0,364747,/media/14761952/jcr.png,JCR,N/A,N/A,1775,False,JCR,35000000,N/A,/coins/jcr/overview
X11,Extreme Sportsbook,Extreme Sportsbook (XSB),0,364846,/media/14761953/xbs.png,XSB,N/A,PoS,1776,False,XSB,3000000,N/A,/coins/xsb/overview
Scrypt,eBoost,eBoost (EBST),0,368732,/media/14913431/ebst.png,EBST,N/A,PoW,1778,False,EBST,100000000,N/A,/coins/ebst/overview
POS 2.0,KekCoin,KekCoin (KEK),0,368743,/media/14913432/kek.png,KEK,N/A,PoS,1779,False,KEK,21000000,N/A,/coins/kek/overview
Scrypt,BlackholeCoin,BlackholeCoin (BHC*),0,369029,/media/14913434/bhc.png,BHC*,N/A,PoW/PoS,1781,False,BHC*,14788275.991,N/A,/coins/bhcstar/overview
SkunkHash,AltCommunity Coin,AltCommunity Coin (ALTCOM),0,369110,/media/14913436/altcom.png,ALTCOM,N/A,PoW/PoS,1782,False,ALTCOM,163358.72760916,N/A,/coins/altcom/overview
N/A,Streamr DATAcoin,Streamr DATAcoin (DATA),0,369151,/media/14913438/data.png,DATA,N/A,N/A,1784,False,DATA,987154514,N/A,/coins/data/overview
Multiple,Datacoin,Datacoin (DTC*),0,369209,/media/14913440/dtc.png,DTC*,N/A,PoW,1786,False,DTC,2000000000,N/A,/coins/dtcstar/overview
N/A,HEROcoin,HEROcoin (PLAY),0,369251,/media/14913441/play.png,PLAY,N/A,N/A,1787,False,PLAY,252165029,N/A,/coins/play/overview
X11,Pure,Pure (PURE),0,370535,/media/14913451/pure.png,PURE,N/A,PoW/PoS,1788,False,PURE,3686860,N/A,/coins/pure/overview
N/A,Cloud,Cloud (CLD),0,370606,/media/14913452/cld.png,CLD,N/A,N/A,1789,False,CLD,60000000,N/A,/coins/cld/overview
N/A,Open Trading Network,Open Trading Network (OTN),0,370726,/media/14913453/otn.png,OTN,N/A,N/A,1790,False,OTN,100000000,N/A,/coins/otn/overview
N/A,PoSToken,PoSToken (POS),0,370825,/media/14913455/pos.png,POS,N/A,PoS,1791,False,POS,10000000,N/A,/coins/pos/overview
N/A,NEO Gold,NEO Gold (NEOG),0,370947,/media/14913457/neog.png,NEOG,N/A,N/A,1793,False,NEOG,100000000 ,N/A,/coins/neog/overview
N/A,ExchangeN,ExchangeN (EXN),0,370961,/media/14913459/exn.png,EXN,N/A,N/A,1794,False,EXN,10000000,N/A,/coins/exn/overview
N/A,Tracto,Tracto (TRCT),0,371004,/media/14913462/trct.png,TRCT,N/A,N/A,1796,False,TRCT,70000000,N/A,/coins/trct/overview
